date,ticker,actual,forecast
2022-09-23,AMGN,209.78143,209.35083
2022-09-26,AMGN,209.689,208.52943
2022-09-27,AMGN,208.87564,208.07314
2022-09-28,AMGN,213.48775,207.52812
2022-09-29,AMGN,211.1124,212.50389
2022-09-30,AMGN,208.33034,209.68677
2022-10-03,AMGN,212.98866,206.5476
2022-10-04,AMGN,215.37329,212.009
2022-10-05,AMGN,216.11269,214.61328
2022-10-06,AMGN,213.45079,214.72871
2022-10-07,AMGN,211.68544,212.08127
2022-10-10,AMGN,214.56914,210.27296
2022-10-11,AMGN,226.85268,213.663
2022-10-12,AMGN,227.77695,226.25874
2022-10-13,AMGN,232.60167,226.95103
2022-10-14,AMGN,232.3059,231.3361
2022-10-17,AMGN,233.77547,231.40666
2022-10-18,AMGN,233.02681,232.73674
2022-10-19,AMGN,229.39442,231.86406
2022-10-20,AMGN,228.71046,228.48189
2022-10-21,AMGN,232.86044,227.94888
2022-10-24,AMGN,241.53009,232.16312
2022-10-25,AMGN,240.30077,240.24904
2022-10-26,AMGN,246.46571,238.95457
2022-10-27,AMGN,246.99254,244.57144
2022-10-28,AMGN,253.07423,245.3932
2022-10-31,AMGN,249.87627,251.09816
2022-11-01,AMGN,251.45673,248.27336
2022-11-02,AMGN,248.63777,249.50926
2022-11-03,AMGN,245.74474,247.11073
2022-11-04,AMGN,248.66547,244.17546
2022-11-07,AMGN,256.0411,247.06892
2022-11-08,AMGN,270.24716,254.53627
2022-11-09,AMGN,267.71463,268.83203
2022-11-10,AMGN,268.97168,267.15826
2022-11-11,AMGN,263.43524,267.85947
2022-11-14,AMGN,263.69403,263.55963
2022-11-15,AMGN,262.12277,263.06207
2022-11-16,AMGN,264.08643,261.9187
2022-11-17,AMGN,267.3716,263.27472
2022-11-18,AMGN,267.3623,266.84253
2022-11-21,AMGN,268.17194,267.10077
2022-11-22,AMGN,267.13892,267.91446
2022-11-23,AMGN,263.74213,267.14856
2022-11-25,AMGN,264.0585,263.87234
2022-11-28,AMGN,263.0162,263.83917
2022-11-29,AMGN,262.4299,262.97867
2022-11-30,AMGN,266.534,261.8916
2022-12-01,AMGN,266.10593,265.9729
2022-12-02,AMGN,265.70575,265.8907
2022-12-05,AMGN,265.14737,265.38586
2022-12-06,AMGN,263.63974,265.01624
2022-12-07,AMGN,265.93845,263.49106
2022-12-08,AMGN,265.76157,265.53882
2022-12-09,AMGN,259.32162,265.62598
2022-12-12,AMGN,257.58133,259.35345
2022-12-13,AMGN,253.37488,256.47153
2022-12-14,AMGN,252.32321,252.98552
2022-12-15,AMGN,247.67938,250.89467
2022-12-16,AMGN,248.86128,246.79195
2022-12-19,AMGN,247.26987,246.96483
2022-12-20,AMGN,246.38579,246.08757
2022-12-21,AMGN,247.79103,244.57451
2022-12-22,AMGN,246.8604,245.92296
2022-12-23,AMGN,245.61337,245.15358
2022-12-27,AMGN,245.12012,243.6808
2022-12-28,AMGN,243.28674,243.31871
2022-12-29,AMGN,244.90608,241.66708
2022-12-30,AMGN,244.42216,243.07759
2023-01-03,AMGN,243.5008,242.74352
2023-01-04,AMGN,246.05077,241.66914
2023-01-05,AMGN,248.34938,244.13475
